Tn,Th,Tc,Tr,Dn,D,Mn,M,C,N,A,H,IL12,IL10,IL6
1,0.139986195,0.000323615,0.448552901,0.906168212,1,0.25474848,0.376095515,0.07856437,0.07856437,0.923549992,0.645577792,1,0.576763485,0.715311692
0.750009568,0.00113268,0.000340914,0.005420632,0.602716926,0.002924396,0.54618481,0.458403148,0.078831883,0.078831883,0.913070485,0.76307295,0,0.622406639,0.460212583
0.573247762,0.011303506,0.560384382,0.544802315,0.771474332,0.93417621,0.350187832,0.435798645,0.080596375,0.080596375,0.843255751,0.981923822,0.678571428,0.706777317,0.955759839
