Mixture,Sample ID,Tn,Th,Tc,Tr,Dn,D,M,Mn,C,N,IL12,IL10,IL6,H,TIC,tumor_size,samples,A
sample9,sample9,14.18681961,0.001458929,0.001458929,0.001458929,8.673440426,0.001458929,9.003159955,14.5096772,6.590514889,0.034505314,0,450,1602,1182,0.803717442,1,2,92.75786583
sample11,sample11,2.540509507,0.787626068,0.001458929,0.001458929,13.30603982,0.001458929,0.632713282,26.56550849,32.26455921,0.168924394,16,723,1068,932,0.759683184,4,2,87.67354792
sample13,sample13,7.022258823,0.444987322,2.773332599,0.001458929,14.39057051,0.001458929,4.581648371,21.5787562,57.54277617,0.301271079,0,429,1646,945,0.880296124,7,2,101.5889434
sample15,sample15,11.05376999,0.001458929,3.951772286,0.001458929,8.1803166,0.001458929,8.669382969,7.147709956,83.60214974,0.43770759,0,319,1490,807,0.675981432,10,2,78.01465717
